❌ 'Ensalada ensatún' → {'nombre': 'Ensalada ensatún', 'envase': 'Bol', 'size': '250 Gramos', 'precio': 2.49, 'subcategoria': 'Salsas'} (Esperado: {'nombre': 'Ensalada ensatún', 'envase': 'Bol', 'size': '250 Gramos', 'precio': 2.49, 'subcategoria': 'Platos preparados'})
❌ 'Muesli Crunchy Hacendado con frutos secos' → {'nombre': 'Muesli Crunchy Hacendado con frutos secos', 'envase': 'Paquete', 'size': '500 Gramos', 'precio': 2.1, 'subcategoria': 'Frutos secos'} (Esperado: {'nombre': 'Muesli Crunchy Hacendado con frutos secos', 'envase': 'Paquete', 'size': '500 Gramos', 'precio': 2.1, 'subcategoria': 'Galletas y cereales'})
❌ 'Muesli Crunchy Hacendado con fruta' → {'nombre': 'Muesli Crunchy Hacendado con fruta', 'envase': 'Paquete', 'size': '500 Gramos', 'precio': 2.1, 'subcategoria': 'Snacks y aperitivos'} (Esperado: {'nombre': 'Muesli Crunchy Hacendado con fruta', 'envase': 'Paquete', 'size': '500 Gramos', 'precio': 2.1, 'subcategoria': 'Galletas y cereales'})
❌ 'Muesli Hacendado con frutas' → {'nombre': 'Muesli Hacendado con frutas', 'envase': 'Paquete', 'size': '1 Kilo', 'precio': 2.4, 'subcategoria': 'Fruta y verdura'} (Esperado: {'nombre': 'Muesli Hacendado con frutas', 'envase': 'Paquete', 'size': '1 Kilo', 'precio': 2.4, 'subcategoria': 'Galletas y cereales'})
❌ 'Muesli Hacendado 50% frutas y frutos secos' → {'nombre': 'Muesli Hacendado 50% frutas y frutos secos', 'envase': 'Paquete', 'size': '500 Gramos', 'precio': 2.1, 'subcategoria': 'Frutos secos'} (Esperado: {'nombre': 'Muesli Hacendado 50% frutas y frutos secos', 'envase': 'Paquete', 'size': '500 Gramos', 'precio': 2.1, 'subcategoria': 'Galletas y cereales'})
❌ 'Cereales avena Crunchy Hacendado de cacao' → {'nombre': 'Cereales avena Crunchy Hacendado de cacao', 'envase': 'Caja', 'size': '400 Gramos', 'precio': 2.15, 'subcategoria': 'Cacao'} (Esperado: {'nombre': 'Cereales avena Crunchy Hacendado de cacao', 'envase': 'Caja', 'size': '400 Gramos', 'precio': 2.15, 'subcategoria': 'Galletas y cereales'})
❌ 'Barritas de cereales Hacendado con chocolate blanco' → {'nombre': 'Barritas de cereales Hacendado con chocolate blanco', 'envase': 'Caja', 'size': '6 barritas (127 g)', 'precio': 1.55, 'subcategoria': 'Chocolate'} (Esperado: {'nombre': 'Barritas de cereales Hacendado con chocolate blanco', 'envase': 'Caja', 'size': '6 barritas (127 g)', 'precio': 1.55, 'subcategoria': 'Galletas y cereales'})
❌ 'Barrita con proteínas Enervit Sport sabor chocolate negro' → {'nombre': 'Barrita con proteínas Enervit Sport sabor chocolate negro', 'envase': 'Caja', 'size': '3 barritas (180 g)', 'precio': 5.25, 'subcategoria': 'Chocolate'} (Esperado: {'nombre': 'Barrita con proteínas Enervit Sport sabor chocolate negro', 'envase': 'Caja', 'size': '3 barritas (180 g)', 'precio': 5.25, 'subcategoria': 'Galletas y cereales'})
❌ 'Barritas de avena Crunchy Nature Valley con chocolate negro' → {'nombre': 'Barritas de avena Crunchy Nature Valley con chocolate negro', 'envase': 'Caja', 'size': '5 paquetes (210 g)', 'precio': 2.6, 'subcategoria': 'Cacao'} (Esperado: {'nombre': 'Barritas de avena Crunchy Nature Valley con chocolate negro', 'envase': 'Caja', 'size': '5 paquetes (210 g)', 'precio': 2.6, 'subcategoria': 'Galletas y cereales'})
❌ 'Tortitas de maíz con chocolate Hacendado' → {'nombre': 'Tortitas de maíz con chocolate Hacendado', 'envase': 'Paquete', 'size': '4 packs (130 g)', 'precio': 1.95, 'subcategoria': 'Chocolate'} (Esperado: {'nombre': 'Tortitas de maíz con chocolate Hacendado', 'envase': 'Paquete', 'size': '4 packs (130 g)', 'precio': 1.95, 'subcategoria': 'Galletas y cereales'})
❌ 'Tortitas de arroz con chocolate blanco sabor yogur Hacendado' → {'nombre': 'Tortitas de arroz con chocolate blanco sabor yogur Hacendado', 'envase': 'Paquete', 'size': '4 packs (120 g)', 'precio': 1.95, 'subcategoria': 'Chocolate'} (Esperado: {'nombre': 'Tortitas de arroz con chocolate blanco sabor yogur Hacendado', 'envase': 'Paquete', 'size': '4 packs (120 g)', 'precio': 1.95, 'subcategoria': 'Galletas y cereales'})
❌ 'Tortitas de arroz Hacendado' → {'nombre': 'Tortitas de arroz Hacendado', 'envase': 'Paquete', 'size': '4 packs (124 g)', 'precio': 1.1, 'subcategoria': 'Arroz, legumbres y pastas'} (Esperado: {'nombre': 'Tortitas de arroz Hacendado', 'envase': 'Paquete', 'size': '4 packs (124 g)', 'precio': 1.1, 'subcategoria': 'Galletas y cereales'})
❌ 'Tortitas de arroz con chocolate con leche Hacendado' → {'nombre': 'Tortitas de arroz con chocolate con leche Hacendado', 'envase': 'Paquete', 'size': '4 packs (130 g)', 'precio': 1.95, 'subcategoria': 'Postres'} (Esperado: {'nombre': 'Tortitas de arroz con chocolate con leche Hacendado', 'envase': 'Paquete', 'size': '4 packs (130 g)', 'precio': 1.95, 'subcategoria': 'Galletas y cereales'})
❌ 'Tortitas de legumbres y arroz Hacendado' → {'nombre': 'Tortitas de legumbres y arroz Hacendado', 'envase': 'Paquete', 'size': '4 packs (109 g)', 'precio': 1.75, 'subcategoria': 'Arroz, legumbres y pastas'} (Esperado: {'nombre': 'Tortitas de legumbres y arroz Hacendado', 'envase': 'Paquete', 'size': '4 packs (109 g)', 'precio': 1.75, 'subcategoria': 'Galletas y cereales'})
❌ 'Tortitas de maíz con sabor a jamón Hacendado' → {'nombre': 'Tortitas de maíz con sabor a jamón Hacendado', 'envase': 'Paquete', 'size': '4 packs (140 g)', 'precio': 1.75, 'subcategoria': 'Charcutería'} (Esperado: {'nombre': 'Tortitas de maíz con sabor a jamón Hacendado', 'envase': 'Paquete', 'size': '4 packs (140 g)', 'precio': 1.75, 'subcategoria': 'Galletas y cereales'})
❌ 'Tortitas de maíz campestre Hacendado' → {'nombre': 'Tortitas de maíz campestre Hacendado', 'envase': 'Paquete', 'size': '4 packs (140 g)', 'precio': 1.75, 'subcategoria': 'Alimentación infantil'} (Esperado: {'nombre': 'Tortitas de maíz campestre Hacendado', 'envase': 'Paquete', 'size': '4 packs (140 g)', 'precio': 1.75, 'subcategoria': 'Galletas y cereales'})
❌ 'Pastas de aceite Hacendado' → {'nombre': 'Pastas de aceite Hacendado', 'envase': 'Caja', 'size': '6 Unidades (250 g)', 'precio': 1.2, 'subcategoria': 'Aceite y vinagre'} (Esperado: {'nombre': 'Pastas de aceite Hacendado', 'envase': 'Caja', 'size': '6 Unidades (250 g)', 'precio': 1.2, 'subcategoria': 'Galletas y cereales'})
❌ 'Galletas Choco negro con chocolatina Hacendado' → {'nombre': 'Galletas Choco negro con chocolatina Hacendado', 'envase': 'Caja', 'size': '4 paquetes (150 g)', 'precio': 1.4, 'subcategoria': 'Chocolate'} (Esperado: {'nombre': 'Galletas Choco negro con chocolatina Hacendado', 'envase': 'Caja', 'size': '4 paquetes (150 g)', 'precio': 1.4, 'subcategoria': 'Galletas y cereales'})
❌ 'Barquillos rellenos sabor nata Hacendado' → {'nombre': 'Barquillos rellenos sabor nata Hacendado', 'envase': 'Paquete', 'size': '210 Gramos', 'precio': 1.0, 'subcategoria': 'Bollería y repostería'} (Esperado: {'nombre': 'Barquillos rellenos sabor nata Hacendado', 'envase': 'Paquete', 'size': '210 Gramos', 'precio': 1.0, 'subcategoria': 'Galletas y cereales'})
❌ 'Galletas con chocolate blanco Hacendado' → {'nombre': 'Galletas con chocolate blanco Hacendado', 'envase': 'Caja', 'size': '6 paquetes (236 g)', 'precio': 1.6, 'subcategoria': 'Chocolate'} (Esperado: {'nombre': 'Galletas con chocolate blanco Hacendado', 'envase': 'Caja', 'size': '6 paquetes (236 g)', 'precio': 1.6, 'subcategoria': 'Galletas y cereales'})
❌ 'Galletas Choco leche con chocolatina Hacendado' → {'nombre': 'Galletas Choco leche con chocolatina Hacendado', 'envase': 'Caja', 'size': '4 paquetes (150 g)', 'precio': 1.4, 'subcategoria': 'Chocolate'} (Esperado: {'nombre': 'Galletas Choco leche con chocolatina Hacendado', 'envase': 'Caja', 'size': '4 paquetes (150 g)', 'precio': 1.4, 'subcategoria': 'Galletas y cereales'})
❌ 'Tubitos bañados chocolate negro Hacendado' → {'nombre': 'Tubitos bañados chocolate negro Hacendado', 'envase': 'Bote', 'size': '150 Gramos', 'precio': 2.75, 'subcategoria': 'Chocolate'} (Esperado: {'nombre': 'Tubitos bañados chocolate negro Hacendado', 'envase': 'Bote', 'size': '150 Gramos', 'precio': 2.75, 'subcategoria': 'Galletas y cereales'})
❌ 'Surtido de pastas artesanas Hacendado' → {'nombre': 'Surtido de pastas artesanas Hacendado', 'envase': 'Caja', 'size': '1 bandeja (500 g)', 'precio': 2.35, 'subcategoria': 'Arroz, legumbres y pastas'} (Esperado: {'nombre': 'Surtido de pastas artesanas Hacendado', 'envase': 'Caja', 'size': '1 bandeja (500 g)', 'precio': 2.35, 'subcategoria': 'Galletas y cereales'})
❌ 'Obleas para helado Hacendado' → {'nombre': 'Obleas para helado Hacendado', 'envase': 'Paquete', 'size': '24 Unidades (52 g)', 'precio': 0.7, 'subcategoria': 'Bollería y repostería'} (Esperado: {'nombre': 'Obleas para helado Hacendado', 'envase': 'Paquete', 'size': '24 Unidades (52 g)', 'precio': 0.7, 'subcategoria': 'Galletas y cereales'})
❌ 'Tubitos Hacendado' → {'nombre': 'Tubitos Hacendado', 'envase': 'Bote', 'size': '175 Gramos', 'precio': 2.05, 'subcategoria': 'Aceite y vinagre'} (Esperado: {'nombre': 'Tubitos Hacendado', 'envase': 'Bote', 'size': '175 Gramos', 'precio': 2.05, 'subcategoria': 'Galletas y cereales'})
❌ 'Té negro PG tips' → {'nombre': 'Té negro PG tips', 'envase': 'Caja', 'size': '40 bolsitas (116 g)', 'precio': 2.6, 'subcategoria': 'Café'} (Esperado: {'nombre': 'Té negro PG tips', 'envase': 'Caja', 'size': '40 bolsitas (116 g)', 'precio': 2.6, 'subcategoria': 'Infusiones'})
❌ 'Té negro con canela Hacendado' → {'nombre': 'Té negro con canela Hacendado', 'envase': 'Caja', 'size': '20 bolsitas (30 g)', 'precio': 1.4, 'subcategoria': 'Café'} (Esperado: {'nombre': 'Té negro con canela Hacendado', 'envase': 'Caja', 'size': '20 bolsitas (30 g)', 'precio': 1.4, 'subcategoria': 'Infusiones'})
❌ 'Barritas de barquillo Hacendado con relleno de avellana cubiertas de chocolate con leche' → {'nombre': 'Barritas de barquillo Hacendado con relleno de avellana cubiertas de chocolate con leche', 'envase': 'Paquete', 'size': '6 Unidades (123 g)', 'precio': 1.8, 'subcategoria': 'Bollería y repostería'} (Esperado: {'nombre': 'Barritas de barquillo Hacendado con relleno de avellana cubiertas de chocolate con leche', 'envase': 'Paquete', 'size': '6 Unidades (123 g)', 'precio': 1.8, 'subcategoria': 'Chocolate'})
❌ 'Dulce de leche Chimbote' → {'nombre': 'Dulce de leche Chimbote', 'envase': 'Tarro', 'size': '430 Gramos', 'precio': 2.71, 'subcategoria': 'Mermelada y miel'} (Esperado: {'nombre': 'Dulce de leche Chimbote', 'envase': 'Tarro', 'size': '430 Gramos', 'precio': 2.71, 'subcategoria': 'Lácteos'})
❌ 'Crema de cacahuete 100% Hacendado' → {'nombre': 'Crema de cacahuete 100% Hacendado', 'envase': 'Tarro', 'size': '500 Gramos', 'precio': 2.85, 'subcategoria': 'Cacao'} (Esperado: {'nombre': 'Crema de cacahuete 100% Hacendado', 'envase': 'Tarro', 'size': '500 Gramos', 'precio': 2.85, 'subcategoria': 'Chocolate'})
❌ 'Néctar de maracuyá Hacendado fruta de la pasión' → {'nombre': 'Néctar de maracuyá Hacendado fruta de la pasión', 'envase': 'mango', 'size': 'uva y manzana', 'precio': 0.0, 'subcategoria': 'Fruta y verdura'} (Esperado: {'nombre': 'Néctar de maracuyá Hacendado fruta de la pasión', 'envase': 'mango', 'size': 'uva y manzana', 'precio': 0.0, 'subcategoria': 'Zumos'})
❌ 'Bebida de mango Hacendado sin azúcares añadidos' → {'nombre': 'Bebida de mango Hacendado sin azúcares añadidos', 'envase': 'Brick', 'size': '1 Litro', 'precio': 1.25, 'subcategoria': 'Bebidas vegetales'} (Esperado: {'nombre': 'Bebida de mango Hacendado sin azúcares añadidos', 'envase': 'Brick', 'size': '1 Litro', 'precio': 1.25, 'subcategoria': 'Zumos'})
❌ 'Bebida de pomelo Hacendado sin azúcares añadidos' → {'nombre': 'Bebida de pomelo Hacendado sin azúcares añadidos', 'envase': 'Brick', 'size': '1 Litro', 'precio': 1.25, 'subcategoria': 'Bebidas vegetales'} (Esperado: {'nombre': 'Bebida de pomelo Hacendado sin azúcares añadidos', 'envase': 'Brick', 'size': '1 Litro', 'precio': 1.25, 'subcategoria': 'Zumos'})
❌ 'Néctar de guayaba Hacendado' → {'nombre': 'Néctar de guayaba Hacendado', 'envase': 'Brick', 'size': '1 Litro', 'precio': 1.3, 'subcategoria': 'Mermelada y miel'} (Esperado: {'nombre': 'Néctar de guayaba Hacendado', 'envase': 'Brick', 'size': '1 Litro', 'precio': 1.3, 'subcategoria': 'Zumos'})
❌ 'Bebida Bahamas Hacendado' → {'nombre': 'Bebida Bahamas Hacendado', 'envase': 'Brick', 'size': '2 Litros', 'precio': 1.4, 'subcategoria': 'Bebidas vegetales'} (Esperado: {'nombre': 'Bebida Bahamas Hacendado', 'envase': 'Brick', 'size': '2 Litros', 'precio': 1.4, 'subcategoria': 'Zumos'})
❌ 'Bebida tropical Hacendado sin azúcares añadidos' → {'nombre': 'Bebida tropical Hacendado sin azúcares añadidos', 'envase': 'Brick', 'size': '1 Litro', 'precio': 0.9, 'subcategoria': 'Bebidas vegetales'} (Esperado: {'nombre': 'Bebida tropical Hacendado sin azúcares añadidos', 'envase': 'Brick', 'size': '1 Litro', 'precio': 0.9, 'subcategoria': 'Zumos'})
❌ 'Bebida de arándanos y frutas rojas Hacendado sin azúcares añadidos' → {'nombre': 'Bebida de arándanos y frutas rojas Hacendado sin azúcares añadidos', 'envase': 'Brick', 'size': '1 Litro', 'precio': 1.65, 'subcategoria': 'Bebidas vegetales'} (Esperado: {'nombre': 'Bebida de arándanos y frutas rojas Hacendado sin azúcares añadidos', 'envase': 'Brick', 'size': '1 Litro', 'precio': 1.65, 'subcategoria': 'Zumos'})
❌ 'Bebida de frutas rojas antioxidante Hacendado sin azúcares añadidos' → {'nombre': 'Bebida de frutas rojas antioxidante Hacendado sin azúcares añadidos', 'envase': 'Brick', 'size': '1 Litro', 'precio': 1.75, 'subcategoria': 'Bebidas vegetales'} (Esperado: {'nombre': 'Bebida de frutas rojas antioxidante Hacendado sin azúcares añadidos', 'envase': 'Brick', 'size': '1 Litro', 'precio': 1.75, 'subcategoria': 'Zumos'})
❌ 'Bebida multivitaminas Hacendado sin azúcares añadidos' → {'nombre': 'Bebida multivitaminas Hacendado sin azúcares añadidos', 'envase': 'Brick', 'size': '1 Litro', 'precio': 1.0, 'subcategoria': 'Bebidas vegetales'} (Esperado: {'nombre': 'Bebida multivitaminas Hacendado sin azúcares añadidos', 'envase': 'Brick', 'size': '1 Litro', 'precio': 1.0, 'subcategoria': 'Zumos'})
❌ 'Zumo mandarina' → {'nombre': 'Zumo mandarina', 'envase': 'fresa y frambuesa Hacendado', 'size': 'Botella', 'precio': 250.0, 'subcategoria': 'Bebidas vegetales'} (Esperado: {'nombre': 'Zumo mandarina', 'envase': 'fresa y frambuesa Hacendado', 'size': 'Botella', 'precio': 250.0, 'subcategoria': 'Zumos'})
❌ 'Bebida de melocotón Hacendado sin azúcares añadidos' → {'nombre': 'Bebida de melocotón Hacendado sin azúcares añadidos', 'envase': 'Brick', 'size': '1 Litro', 'precio': 1.0, 'subcategoria': 'Bebidas vegetales'} (Esperado: {'nombre': 'Bebida de melocotón Hacendado sin azúcares añadidos', 'envase': 'Brick', 'size': '1 Litro', 'precio': 1.0, 'subcategoria': 'Zumos'})
❌ 'Bebida de piña Hacendado sin azúcares añadidos' → {'nombre': 'Bebida de piña Hacendado sin azúcares añadidos', 'envase': 'Brick', 'size': '1 Litro', 'precio': 1.0, 'subcategoria': 'Bebidas vegetales'} (Esperado: {'nombre': 'Bebida de piña Hacendado sin azúcares añadidos', 'envase': 'Brick', 'size': '1 Litro', 'precio': 1.0, 'subcategoria': 'Zumos'})
❌ 'Postre lácteo natural +Proteínas Hacendado 0% m.g 10 g proteínas' → {'nombre': 'Postre lácteo natural +Proteínas Hacendado 0% m.g 10 g proteínas', 'envase': 'Bote', 'size': '500 Gramos', 'precio': 1.4, 'subcategoria': 'Lácteos'} (Esperado: {'nombre': 'Postre lácteo natural +Proteínas Hacendado 0% m.g 10 g proteínas', 'envase': 'Bote', 'size': '500 Gramos', 'precio': 1.4, 'subcategoria': 'Postres'})
❌ 'Bífidus natural probiótico azucarado Hacendado con cereales y fresas deshidratadas' → {'nombre': 'Bífidus natural probiótico azucarado Hacendado con cereales y fresas deshidratadas', 'envase': 'Tarrina', 'size': '170 Gramos', 'precio': 1.15, 'subcategoria': 'Azúcar y edulcorantes'} (Esperado: {'nombre': 'Bífidus natural probiótico azucarado Hacendado con cereales y fresas deshidratadas', 'envase': 'Tarrina', 'size': '170 Gramos', 'precio': 1.15, 'subcategoria': 'Lácteos'})
❌ 'Petit de bolsillo de fresa Hacendado' → {'nombre': 'Petit de bolsillo de fresa Hacendado', 'envase': 'Caja', 'size': '4 Unidades (360 g)', 'precio': 1.7, 'subcategoria': 'Fruta y verdura'} (Esperado: {'nombre': 'Petit de bolsillo de fresa Hacendado', 'envase': 'Caja', 'size': '4 Unidades (360 g)', 'precio': 1.7, 'subcategoria': 'Postres'})
❌ 'Natillas de chocolate Danet' → {'nombre': 'Natillas de chocolate Danet', 'envase': '4 Unidades x 120 Gramos', 'size': 'Precio anterior: 2,00€ por Pack', 'precio': 1.8, 'subcategoria': 'Chocolate'} (Esperado: {'nombre': 'Natillas de chocolate Danet', 'envase': '4 Unidades x 120 Gramos', 'size': 'Precio anterior: 2,00€ por Pack', 'precio': 1.8, 'subcategoria': 'Postres'})
❌ 'Gelatina 0% azúcar sabores fresa' → {'nombre': 'Gelatina 0% azúcar sabores fresa', 'envase': 'mandarina y limón Hacendado', 'size': '6 Unidades x 100 Gramos', 'precio': 1.0, 'subcategoria': 'Galletas y cereales'} (Esperado: {'nombre': 'Gelatina 0% azúcar sabores fresa', 'envase': 'mandarina y limón Hacendado', 'size': '6 Unidades x 100 Gramos', 'precio': 1.0, 'subcategoria': 'Postres'})
❌ 'Gelatina sabores mango' → {'nombre': 'Gelatina sabores mango', 'envase': 'maracuyá y piña Hacendado', 'size': '6 Unidades x 100 Gramos', 'precio': 1.0, 'subcategoria': 'Snacks y aperitivos'} (Esperado: {'nombre': 'Gelatina sabores mango', 'envase': 'maracuyá y piña Hacendado', 'size': '6 Unidades x 100 Gramos', 'precio': 1.0, 'subcategoria': 'Postres'})
❌ 'Gelatina 0% azúcar sabor cereza' → {'nombre': 'Gelatina 0% azúcar sabor cereza', 'envase': 'cola y sandía Hacendado', 'size': '6 Unidades x 100 Gramos', 'precio': 1.0, 'subcategoria': 'Galletas y cereales'} (Esperado: {'nombre': 'Gelatina 0% azúcar sabor cereza', 'envase': 'cola y sandía Hacendado', 'size': '6 Unidades x 100 Gramos', 'precio': 1.0, 'subcategoria': 'Postres'})
❌ 'Yogur azucarado YogoMix Hacendado variado de copos maíz' → {'nombre': 'Yogur azucarado YogoMix Hacendado variado de copos maíz', 'envase': 'bolitas y disquitos chocolateados', 'size': '6 Unidades x 150 Gramos', 'precio': 3.15, 'subcategoria': 'Arroz, legumbres y pastas'} (Esperado: {'nombre': 'Yogur azucarado YogoMix Hacendado variado de copos maíz', 'envase': 'bolitas y disquitos chocolateados', 'size': '6 Unidades x 150 Gramos', 'precio': 3.15, 'subcategoria': 'Postres'})
❌ 'Tarta de queso Hacendado' → {'nombre': 'Tarta de queso Hacendado', 'envase': 'Tarrina', 'size': '180 Gramos', 'precio': 1.9, 'subcategoria': 'Quesos'} (Esperado: {'nombre': 'Tarta de queso Hacendado', 'envase': 'Tarrina', 'size': '180 Gramos', 'precio': 1.9, 'subcategoria': 'Postres'})
❌ 'Coulant de chocolate Hacendado' → {'nombre': 'Coulant de chocolate Hacendado', 'envase': 'Caja', 'size': '2 Unidades (180 g)', 'precio': 2.2, 'subcategoria': 'Chocolate'} (Esperado: {'nombre': 'Coulant de chocolate Hacendado', 'envase': 'Caja', 'size': '2 Unidades (180 g)', 'precio': 2.2, 'subcategoria': 'Postres'})
❌ 'Escamas de sal marina natural Polasal' → {'nombre': 'Escamas de sal marina natural Polasal', 'envase': 'Bote', 'size': '125 Gramos', 'precio': 2.0, 'subcategoria': 'Especias'} (Esperado: {'nombre': 'Escamas de sal marina natural Polasal', 'envase': 'Bote', 'size': '125 Gramos', 'precio': 2.0, 'subcategoria': 'Sal y bicarbonato'})
❌ 'Preparado para ahumar Hacendado' → {'nombre': 'Preparado para ahumar Hacendado', 'envase': 'Bote', 'size': '750 Gramos', 'precio': 3.3, 'subcategoria': 'Charcutería'} (Esperado: {'nombre': 'Preparado para ahumar Hacendado', 'envase': 'Bote', 'size': '750 Gramos', 'precio': 3.3, 'subcategoria': 'Sal y bicarbonato'})
❌ 'Mostaza de Dijon Hacendado' → {'nombre': 'Mostaza de Dijon Hacendado', 'envase': 'Tarro', 'size': '200 Gramos', 'precio': 1.25, 'subcategoria': 'Aceite y vinagre'} (Esperado: {'nombre': 'Mostaza de Dijon Hacendado', 'envase': 'Tarro', 'size': '200 Gramos', 'precio': 1.25, 'subcategoria': 'Salsas'})
❌ 'Mostaza clásica Hacendado' → {'nombre': 'Mostaza clásica Hacendado', 'envase': 'Bote', 'size': '388 Gramos', 'precio': 1.35, 'subcategoria': 'Aceite y vinagre'} (Esperado: {'nombre': 'Mostaza clásica Hacendado', 'envase': 'Bote', 'size': '388 Gramos', 'precio': 1.35, 'subcategoria': 'Salsas'})
❌ 'Allioli Hacendado' → {'nombre': 'Allioli Hacendado', 'envase': 'Tarrina', 'size': '200 Mililitros', 'precio': 1.1, 'subcategoria': 'Aceite y vinagre'} (Esperado: {'nombre': 'Allioli Hacendado', 'envase': 'Tarrina', 'size': '200 Mililitros', 'precio': 1.1, 'subcategoria': 'Salsas'})
❌ 'Allioli en sobres individuales Hacendado' → {'nombre': 'Allioli en sobres individuales Hacendado', 'envase': 'Paquete', 'size': '8 sobres (160 ml)', 'precio': 1.5, 'subcategoria': 'Aceite y vinagre'} (Esperado: {'nombre': 'Allioli en sobres individuales Hacendado', 'envase': 'Paquete', 'size': '8 sobres (160 ml)', 'precio': 1.5, 'subcategoria': 'Salsas'})
❌ 'Alioli con perejil Hacendado' → {'nombre': 'Alioli con perejil Hacendado', 'envase': 'Bote', 'size': '310 Mililitros', 'precio': 1.55, 'subcategoria': 'Aceite y vinagre'} (Esperado: {'nombre': 'Alioli con perejil Hacendado', 'envase': 'Bote', 'size': '310 Mililitros', 'precio': 1.55, 'subcategoria': 'Salsas'})
❌ 'Tomate frito sin azúcares añadidos Hacendado' → {'nombre': 'Tomate frito sin azúcares añadidos Hacendado', 'envase': 'Tarro', 'size': '560 Gramos', 'precio': 1.1, 'subcategoria': 'Conservas'} (Esperado: {'nombre': 'Tomate frito sin azúcares añadidos Hacendado', 'envase': 'Tarro', 'size': '560 Gramos', 'precio': 1.1, 'subcategoria': 'Salsas'})
❌ 'Salsa pimienta verde Hacendado' → {'nombre': 'Salsa pimienta verde Hacendado', 'envase': 'Sobre', 'size': '50 Gramos', 'precio': 1.25, 'subcategoria': 'Especias'} (Esperado: {'nombre': 'Salsa pimienta verde Hacendado', 'envase': 'Sobre', 'size': '50 Gramos', 'precio': 1.25, 'subcategoria': 'Salsas'})
❌ 'Aliño de aceite con perejil y ajo Hacendado' → {'nombre': 'Aliño de aceite con perejil y ajo Hacendado', 'envase': 'Tarrina', 'size': '150 Mililitros', 'precio': 1.75, 'subcategoria': 'Aceite y vinagre'} (Esperado: {'nombre': 'Aliño de aceite con perejil y ajo Hacendado', 'envase': 'Tarrina', 'size': '150 Mililitros', 'precio': 1.75, 'subcategoria': 'Salsas'})
❌ 'Salsa de Queso Hacendado' → {'nombre': 'Salsa de Queso Hacendado', 'envase': 'Tarro', 'size': '280 Mililitros', 'precio': 1.65, 'subcategoria': 'Quesos'} (Esperado: {'nombre': 'Salsa de Queso Hacendado', 'envase': 'Tarro', 'size': '280 Mililitros', 'precio': 1.65, 'subcategoria': 'Salsas'})
❌ 'Chili con carne Hacendado' → {'nombre': 'Chili con carne Hacendado', 'envase': 'Bote', 'size': '420 Gramos', 'precio': 2.8, 'subcategoria': 'Carne'} (Esperado: {'nombre': 'Chili con carne Hacendado', 'envase': 'Bote', 'size': '420 Gramos', 'precio': 2.8, 'subcategoria': 'Salsas'})
❌ 'Carne de pimiento choricero Hacendado' → {'nombre': 'Carne de pimiento choricero Hacendado', 'envase': 'Tarro', 'size': '140 Gramos', 'precio': 1.55, 'subcategoria': 'Carne'} (Esperado: {'nombre': 'Carne de pimiento choricero Hacendado', 'envase': 'Tarro', 'size': '140 Gramos', 'precio': 1.55, 'subcategoria': 'Salsas'})
❌ 'Arroz redondo J Sendra Hacendado' → {'nombre': 'Arroz redondo J Sendra Hacendado', 'envase': 'Paquete', 'size': '1 Kilo', 'precio': 1.6, 'subcategoria': 'CATEGORIA_INVALIDA'} (Esperado: {'nombre': 'Arroz redondo J Sendra Hacendado', 'envase': 'Paquete', 'size': '1 Kilo', 'precio': 1.6, 'subcategoria': 'Arroz, legumbres y pastas'})
❌ 'Arroz basmati aromático Hacendado' → {'nombre': 'Arroz basmati aromático Hacendado', 'envase': 'Paquete', 'size': '1 Kilo', 'precio': 2.2, 'subcategoria': 'CATEGORIA_INVALIDA'} (Esperado: {'nombre': 'Arroz basmati aromático Hacendado', 'envase': 'Paquete', 'size': '1 Kilo', 'precio': 2.2, 'subcategoria': 'Arroz, legumbres y pastas'})
❌ 'Arroz redondo SOS' → {'nombre': 'Arroz redondo SOS', 'envase': 'Paquete', 'size': '1 Kilo', 'precio': 1.88, 'subcategoria': 'CATEGORIA_INVALIDA'} (Esperado: {'nombre': 'Arroz redondo SOS', 'envase': 'Paquete', 'size': '1 Kilo', 'precio': 1.88, 'subcategoria': 'Arroz, legumbres y pastas'})
❌ 'Arroz redondo Sabor' → {'nombre': 'Arroz redondo Sabor', 'envase': 'Paquete', 'size': '1 Kilo', 'precio': 2.45, 'subcategoria': 'CATEGORIA_INVALIDA'} (Esperado: {'nombre': 'Arroz redondo Sabor', 'envase': 'Paquete', 'size': '1 Kilo', 'precio': 2.45, 'subcategoria': 'Arroz, legumbres y pastas'})
❌ 'Pajaritas vegetales Hacendado' → {'nombre': 'Pajaritas vegetales Hacendado', 'envase': 'Paquete', 'size': '500 Gramos', 'precio': 1.05, 'subcategoria': 'Fruta y verdura'} (Esperado: {'nombre': 'Pajaritas vegetales Hacendado', 'envase': 'Paquete', 'size': '500 Gramos', 'precio': 1.05, 'subcategoria': 'Arroz, legumbres y pastas'})
❌ 'Hélices con vegetales Hacendado' → {'nombre': 'Hélices con vegetales Hacendado', 'envase': 'Paquete', 'size': '1 Kilo', 'precio': 1.55, 'subcategoria': 'Fruta y verdura'} (Esperado: {'nombre': 'Hélices con vegetales Hacendado', 'envase': 'Paquete', 'size': '1 Kilo', 'precio': 1.55, 'subcategoria': 'Arroz, legumbres y pastas'})
